post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_canonical,meta:_yoast_wpseo_bctitle,meta:_yoast_wpseo_meta-robots-adv,meta:_yoast_wpseo_is_cornerstone,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_linkdex,meta:_yoast_wpseo_estimated-reading-time-minutes,meta:_yoast_wpseo_content_score,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metakeywords,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,meta:hema_mozilor,meta:total_sales,meta:wt_fbt_amount,meta:wt_fbt_apply_discount,meta:wt_fbt_discount_type,meta:wt_fbt_pdt_ids,meta:wt_fbt_status,meta:attribute_color,meta:attribute_logo,meta:attribute_pa_color,meta:attribute_pa_size,meta:attribute_size,attribute:Logo,attribute_data:Logo,attribute_default:Logo,attribute:color,attribute_data:color,attribute_default:color,attribute:pa_color,attribute_data:pa_color,attribute_default:pa_color,attribute:pa_size,attribute_data:pa_size,attribute_default:pa_size
"Hoodie - red, No",hoodie-red-no,127,143,,"color: red, Logo: No",publish,,1,2022-10-11 09:55:10,2,closed,woo-hoodie-red,woo-hoodie,,no,no,null,45,42,,,,,,instock,no,no,,no,taxable,,,,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/hoodie-2.jpg ! alt :  ! title : hoodie-2.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=127,,,,,,,,,,,,,,Stationary,,,,0,,,,,,,No,red,,,,,,,,,,,,,,
"Hoodie - green, No",hoodie-green-no,127,144,,"color: green, Logo: No",publish,,2,2022-10-11 09:55:10,2,closed,woo-hoodie-green,woo-hoodie,,no,no,null,45,,,,,,,instock,no,no,,no,taxable,,,,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/hoodie-green-1.jpg ! alt :  ! title : hoodie-green-1.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=127,,,,,,,,,,,,,,Stationary,,,,0,,,,,,,No,green,,,,,,,,,,,,,,
"Hoodie - blue, No",hoodie-blue-no,127,145,,"color: blue, Logo: No",publish,,3,2022-10-11 09:55:10,2,closed,woo-hoodie-blue,woo-hoodie,,no,no,null,45,,,,,,,instock,no,no,,no,taxable,,,,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/hoodie-blue-1.jpg ! alt :  ! title : hoodie-blue-1.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=127,,,,,,,,,,,,,,Stationary,,,,0,,,,,,,No,blue,,,,,,,,,,,,,,
Hoodie with Logo,hoodie-with-logo,,128,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",This is a simple product.,draft,,0,2022-10-11 09:55:03,2,open,woo-hoodie-with-logo,,,no,no,null,45,,,,,,,instock,no,no,,no,taxable,,,,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/hoodie-with-logo-2.jpg ! alt :  ! title : hoodie-with-logo-2.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=128,,,,,,,,,,,,simple,,Clothing > Hoodies,,,,17,,,,,,,,,,,,,,,,,blue,0|1|0,,,,
T-Shirt,t-shirt,,129,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",This is a simple product.,draft,,0,2022-10-11 09:55:03,2,open,woo-tshirt,,,no,no,null,18,,,,,,,instock,no,no,,no,taxable,,,,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/tshirt-2.jpg ! alt :  ! title : tshirt-2.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=129,,,,,,,,,,,,simple,,Clothing > Hoodies|Clothing > Tshirts,,,,1,,,,,,,,,,,,,,,,,Gray,0|1|0,,,,
Beanie,beanie,,130,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",This is a simple product.,draft,,0,2022-10-11 09:55:04,2,open,woo-beanie,,,no,no,null,20,18,,,,,,instock,no,no,,no,taxable,,,,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/beanie-2.jpg ! alt :  ! title : beanie-2.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=130,,,,,,,,,,,,simple,,Clothing > Accessories,,,,12,,,,,,,,,,,,,,,,,red,0|1|0,,,,
Belt,belt,,131,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",This is a simple product.,draft,,0,2022-10-11 09:55:04,2,open,woo-belt,,,no,no,null,65,55,,,,,,instock,no,no,,no,taxable,,,,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/belt-2.jpg ! alt :  ! title : belt-2.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=131,,,,,,,,,,,,simple,,Clothing > Accessories,,,,10,,,,,,,,,,,,,,,,,,,,,,
Cap,cap,,132,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",This is a simple product.,draft,,0,2022-10-11 09:55:05,2,open,woo-cap,,,no,no,null,18,16,,,,,,instock,no,no,,no,taxable,,,1,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/cap-2.jpg ! alt :  ! title : cap-2.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=132,,,,,,,,,,,,simple,,Clothing > Accessories,,,,11,,,,,,,,,,,,,,,,,yellow,0|1|0,,,,
Sunglasses,sunglasses,,133,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",This is a simple product.,draft,,0,2022-10-11 09:55:05,2,open,woo-sunglasses,,,no,no,null,90,,,,,,,instock,no,no,,no,taxable,,,1,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/sunglasses-2.jpg ! alt :  ! title : sunglasses-2.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=133,,,,,,,,,,,,simple,,Clothing > Accessories,,,,29,,,,,,,,,,,,,,,,,,,,,,
Hoodie with Pocket,hoodie-with-pocket,,134,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",This is a simple product.,draft,,0,2022-10-11 09:55:05,2,open,woo-hoodie-with-pocket,,,no,no,null,45,35,,,,,,instock,no,no,,no,taxable,,,1,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/hoodie-with-pocket-2.jpg ! alt :  ! title : hoodie-with-pocket-2.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=134,,,,,,,,,,,,simple,exclude-from-catalog|exclude-from-search,Clothing > Hoodies,,,,17,,,,,,,,,,,,,,,,,Gray,0|1|0,,,,
Hoodie with Zipper,hoodie-with-zipper,,135,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",This is a simple product.,draft,,0,2022-10-11 09:55:06,2,open,woo-hoodie-with-zipper,,,no,no,null,45,,,,,,,instock,no,no,,no,taxable,,,1,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/hoodie-with-zipper-2.jpg ! alt :  ! title : hoodie-with-zipper-2.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=135,,,,,,,,,,,,simple,,Clothing > Hoodies,,,,18,,,,,,,,,,,,,,,,,,,,,,
Long Sleeve Tee,long-sleeve-tee,,136,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",This is a simple product.,draft,,0,2022-10-11 09:55:06,2,open,woo-long-sleeve-tee,,,no,no,null,25,,,,,,,instock,no,no,,no,taxable,,,,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/long-sleeve-tee-2.jpg ! alt :  ! title : long-sleeve-tee-2.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=136,,,,,,,,,,,,simple,,Clothing > Tshirts,,,,0,,,,,,,,,,,,,,,,,green,0|1|0,,,,
Polo,polo,,137,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",This is a simple product.,draft,,0,2022-10-11 09:55:07,2,open,woo-polo,,,no,no,null,20,,,,,,,instock,no,no,,no,taxable,,,,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/polo-2.jpg ! alt :  ! title : polo-2.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=137,,,,,,,,,,,,simple,,Clothing > Tshirts,,,,0,,,,,,,,,,,,,,,,,blue,0|1|0,,,,
Album,album,,138,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.","This is a simple, virtual product.",draft,,0,2022-10-11 09:55:07,2,open,woo-album,,,yes,yes,null,15,,,,,,,instock,no,no,,no,taxable,,,,,,,1,1,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/album-1.jpg ! alt :  ! title : album-1.jpg ! desc :  ! caption : ,Single 1::https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/single.jpg | Single 2::https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/album.jpg,https://demo28.wtdev.xyz/?post_type=product&p=138,,,,,,,,,,,,simple,,Music,,,,0,,,,,,,,,,,,,,,,,,,,,,
Single,single,,139,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.","This is a simple, virtual product.",draft,,0,2022-10-11 09:55:08,2,open,woo-single,,,yes,yes,null,3,2,,,,,,instock,no,no,,no,taxable,,,,,,,1,1,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/single-1.jpg ! alt :  ! title : single-1.jpg ! desc :  ! caption : ,Single::https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/single.jpg,https://demo28.wtdev.xyz/?post_type=product&p=139,,,,,,,,,,,,simple,,Music,,,,0,,,,,,,,,,,,,,,,,,,,,,
T-Shirt with Logo,t-shirt-with-logo,,146,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",This is a simple product.,draft,,0,2022-10-11 09:55:11,2,open,Woo-tshirt-logo,,,no,no,null,18,,,,,,,instock,no,no,,no,taxable,,,,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/t-shirt-with-logo-1.jpg ! alt :  ! title : t-shirt-with-logo-1.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=146,,,,,,,,,,,,simple,,Clothing > Tshirts,,,,0,,,,,,,,,,,,,,,,,Gray,0|1|0,,,,
Beanie with Logo,beanie-with-logo,,147,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",This is a simple product.,draft,,0,2022-10-11 09:55:11,2,open,Woo-beanie-logo,,,no,no,null,20,18,,,,,,instock,no,no,,no,taxable,,,,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/beanie-with-logo-1.jpg ! alt :  ! title : beanie-with-logo-1.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=147,,,,,,,,,,,,simple,,Clothing > Accessories,,,,13,,,,,,,,,,,,,,,,,red,0|1|0,,,,
Logo Collection,logo-collection,,148,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",This is a grouped product.,draft,,0,2022-10-11 09:55:11,2,open,logo-collection,,128|129|130,no,no,null,18,,,,,,,instock,no,no,,no,taxable,,,,,,,0,0,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/logo-1.jpg ! alt :  ! title : logo-1.jpg ! desc :  ! caption :  | https://demo28.wtdev.xyz/wp-content/uploads/2022/10/beanie-with-logo-1.jpg ! alt :  ! title : beanie-with-logo-1.jpg ! desc :  ! caption :  | https://demo28.wtdev.xyz/wp-content/uploads/2022/10/t-shirt-with-logo-1.jpg ! alt :  ! title : t-shirt-with-logo-1.jpg ! desc :  ! caption :  | https://demo28.wtdev.xyz/wp-content/uploads/2022/10/hoodie-with-logo-2.jpg ! alt :  ! title : hoodie-with-logo-2.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=148,,,,,,,,,,,,grouped,,Clothing,,,,0,,,,,,,,,,,,,,,,,,,,,,
WordPress Pennant,wordpress-pennant,,149,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",This is an external product.,draft,,0,2022-10-11 09:55:12,2,open,wp-pennant,,,no,no,null,11.05,,,,,,,instock,no,no,,no,taxable,,,,,,,0,0,https://mercantile.wordpress.org/product/wordpress-pennant/,Buy on the WordPress swag store!,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/pennant-1.jpg ! alt :  ! title : pennant-1.jpg ! desc :  ! caption : ,,https://demo28.wtdev.xyz/?post_type=product&p=149,,,,,,,,,,,,external,,Decor,,,,0,,,,,,,,,,,,,,,,,,,,,,
Watercolor,watercolor,,200,,,publish,,0,2022-10-26 04:20:52,2,open,wp-watercolor,,,no,no,null,10,,,,,,,instock,no,no,,no,taxable,,,,,,,-1,-1,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/2022-10-26_09-49-02.png ! alt :  ! title : 2022-10-26_09-49-02 ! desc :  ! caption : ,,https://demo28.wtdev.xyz/index.php/product/watercolor/,,,,,,,,,,,,simple,,Stationary,,,,1,,,percentage_discount,,,,,,,,,,,,,,,,,,,
Crayons,crayons,,206,,,publish,,0,2022-10-26 04:22:21,2,open,wp-crayons,,,no,no,null,12,,,,,,,instock,no,no,,no,taxable,,,,,,,-1,-1,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/2022-10-26_09-47-54.png ! alt :  ! title : 2022-10-26_09-47-54 ! desc :  ! caption : ,,https://demo28.wtdev.xyz/index.php/product/crayons/,,,,,,,,,,,,simple,,Stationary,,,,2,,,percentage_discount,,,,,,,,,,,,,,,,,,,
Adhesive,adhesive,,207,,,publish,,0,2022-10-26 04:23:07,2,open,wp-adhesive,,,no,no,null,5,,,,,,,outofstock,no,no,,no,taxable,,,,,,,-1,-1,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/2022-10-26_09-46-50.png ! alt :  ! title : 2022-10-26_09-46-50 ! desc :  ! caption : ,,https://demo28.wtdev.xyz/index.php/product/adhesive/,,,,,,,,,,,,simple,outofstock,Stationary,,,,0,,,percentage_discount,,,,,,,,,,,,,,,,,,,
Scissors,scissors,,208,,,publish,,0,2022-10-26 04:23:54,2,open,wp-scissors,,,no,no,null,7,,,,,,,instock,no,no,,no,taxable,,,1,,,,-1,-1,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/2022-10-26_09-43-50.png ! alt :  ! title : 2022-10-26_09-43-50 ! desc :  ! caption : ,,https://demo28.wtdev.xyz/index.php/product/scissors/,,,,,,,,,,,,simple,,Stationary,,,,1,,,percentage_discount,,,,,,,,,,,,,,,,,,,
Notebook,notebook,,209,,"Lined note books. 

[wt_sc_user_available_coupons] ",publish,,0,2022-10-26 04:24:55,2,open,wp-note,,,no,no,null,15,,,,,,,instock,no,no,,no,taxable,215,24|25|37,1,,,,-1,-1,,,https://demo28.wtdev.xyz/wp-content/uploads/2022/10/2022-10-26_09-42-31.png ! alt :  ! title : 2022-10-26_09-42-31 ! desc :  ! caption : ,,https://demo28.wtdev.xyz/index.php/product/notebook/,,,,,,,,,,,,simple,,Stationary,,,,9,15,yes,percentage_discount,"[39,38]",yes,,,,,,,,,,,,,,,,,
